Name,Market Capitalization,Procent 100 cap,Procent
Bitcoin (Биткоин)BTC,"₽103,536,612,949,715",54.6, %
Ethereum (Эфириум)ETH,"₽35,454,782,937,563",18.7, %
Tether (Тезер)USDT,"₽9,685,483,285,674",5.1, %
BNBBNB,"₽7,263,487,643,716",3.8, %
Solana (Солана)SOL,"₽5,674,055,495,027",3.0, %
USDCUSDC,"₽2,800,201,035,705",1.5, %
XRPXRP,"₽2,288,152,049,198",1.2, %
Toncoin (Тонкоин)TON,"₽1,599,061,046,659",48.5, %
Dogecoin (Догекоин)DOGE,"₽1,566,064,037,353",46.0, %
Cardano (Кардано)ADA,"₽1,187,376,805,443",41.6, %
Avalanche (Аваланч)AVAX,"₽960,366,376,888",39.8, %
TRON (ТРОН)TRX,"₽919,680,821,337",35.6, %
Shiba Inu (Шиба-ину)SHIB,"₽871,973,877,696",25.5, %
Polkadot (Полькадот)DOT,"₽789,115,447,431",25.4, %
Chainlink (Чейнлинк)LINK,"₽755,388,733,263",25.3, %
Bitcoin Cash (Биткоин-кэш)BCH,"₽674,443,273,705",24.8, %
Uniswap (Юнисвап)UNI,"₽483,790,153,172",24.2, %
NEAR ProtocolNEAR,"₽481,578,396,301",24.1, %
Polygon (Полигон)MATIC,"₽480,188,631,376",23.4, %
Litecoin (Лайткоин)LTC,"₽470,144,184,142",19.4, %
DaiDAI,"₽459,781,061,098",17.2, %
UNUS SED LEOLEO,"₽457,288,744,706",16.0, %
PepePEPE,"₽444,537,806,939",14.4, %
KaspaKAS,"₽367,041,924,529",14.0, %
Internet Computer (Интернет-компьютер)ICP,"₽326,225,644,502",13.3, %
Ethereum ClassicETC,"₽302,825,099,240",12.7, %
AptosAPT,"₽272,342,737,946",12.3, %
MoneroXMR,"₽264,867,508,719",12.3, %
RenderRNDR,"₽251,656,443,983",12.0, %
HederaHBAR,"₽241,711,968,555",11.8, %
CosmosATOM,"₽233,931,353,491",11.5, %
StellarXLM,"₽232,374,807,979",11.5, %
ArbitrumARB,"₽226,691,126,847",11.4, %
MantleMNT,"₽224,698,320,236",11.1, %
FilecoinFIL,"₽219,039,192,845",11.0, %
OKBOKB,"₽217,721,052,763",10.6, %
StacksSTX,"₽216,748,255,266",9.8, %
CronosCRO,"₽209,835,125,703",9.7, %
MakerMKR,"₽209,298,410,422",9.6, %
ImmutableIMX,"₽201,586,905,468",9.6, %
First Digital USDFDUSD,"₽186,783,298,577",9.2, %
InjectiveINJ,"₽183,916,491,732",9.2, %
Lido DAOLDO,"₽182,037,227,171",9.1, %
VeChainVET,"₽181,620,788,812",9.0, %
The GraphGRT,"₽174,836,616,037",8.8, %
OptimismOP,"₽173,703,220,992",7.8, %
dogwifhatWIF,"₽172,342,729,233",7.3, %
SuiSUI,"₽170,282,391,415",7.3, %
BittensorTAO,"₽167,218,219,478",7.3, %
ArweaveAR,"₽147,198,209,234",7.3, %
Bitget TokenBGB,"₽138,916,730,024",7.1, %
FLOKIFLOKI,"₽138,401,290,341",7.2, %
Brett (Based)BRETT,"₽137,945,172,180",7.0, %
OndoONDO,"₽137,552,447,264",6.8, %
BonkBONK,"₽134,994,608,834",6.7, %
FantomFTM,"₽135,928,229,904",6.5, %
Theta NetworkTHETA,"₽131,814,655,441",6.2, %
NotcoinNOT,"₽128,490,882,530",5.5, %
JasmyCoinJASMY,"₽127,049,632,432",5.5, %
AaveAAVE,"₽122,931,420,403",5.4, %
THORChainRUNE,"₽117,627,591,007",5.3, %
Fetch.aiFET,"₽104,429,867,341",5.3, %
CelestiaTIA,"₽103,772,277,675",5.0, %
CoreCORE,"₽102,395,667,423",4.9, %
Pyth NetworkPYTH,"₽101,338,398,209",4.8, %
AlgorandALGO,"₽100,964,219,275",4.4, %
JupiterJUP,"₽95,221,407,527",4.3, %
SeiSEI,"₽93,130,502,221",4.2, %
FlareFLR,"₽91,225,191,878",4.1, %
FlowFLOW,"₽83,278,438,316",4.1, %
KuCoin TokenKCS,"₽81,749,174,901",4.0, %
Axie InfinityAXS,"₽79,417,822,317",4.0, %
Bitcoin SVBSV,"₽77,377,591,172",4.0, %
StarknetSTRK,"₽77,369,695,775",4.0, %
GalaGALA,"₽76,615,682,588",4.0, %
EOSEOS,"₽76,283,251,994",3.8, %
Ethereum Name ServiceENS,"₽75,489,272,973",3.8, %
Akash NetworkAKT,"₽75,719,772,434",3.7, %
QuantQNT,"₽75,008,099,184",3.7, %
BitTorrent [New]BTT,"₽72,049,322,529",3.7, %
dYdX (Native)DYDX,"₽71,789,509,655",3.7, %
NeoNEO,"₽71,078,544,647",3.7, %
EthenaENA,"₽70,528,015,426",3.7, %
BeamBEAM,"₽70,416,040,460",3.6, %
PendlePENDLE,"₽69,226,875,819",3.5, %
MultiversXEGLD,"₽69,403,443,215",3.4, %
ORDIORDI,"₽69,468,601,132",3.4, %
SingularityNETAGIX,"₽67,368,032,411",3.3, %
The SandboxSAND,"₽66,928,191,677",3.3, %
TezosXTZ,"₽64,778,225,837",3.3, %
GnosisGNO,"₽63,913,757,478",3.3, %
USDDUSDD,"₽62,984,425,743",3.1, %
GateTokenGT,"₽62,217,580,941",3.1, %
RoninRON,"₽61,963,071,094",3.1, %
WorldcoinWLD,"₽61,858,350,666",3.1, %
ConfluxCFX,"₽59,457,934,206",3.0, %
